Millis,Leituras
0,327
10,303
20,309
30,294
41,290
52,296
62,281
73,287
83,284
94,272
104,282
115,270
125,267
136,276
147,262
157,268
167,269
179,256
189,267
199,257
210,252
221,262
231,249
242,253
252,257
263,244
274,255
284,248
294,241
306,252
316,239
326,242
337,248
348,235
358,246
368,240
379,232
390,243
400,232
411,231
421,240
432,227
443,236
453,234
463,224
475,236
485,225
495,223
506,233
517,221
527,228
538,230
548,218
559,230
570,221
580,217
590,228
602,216
612,220
622,225
633,213
644,225
654,218
665,212
675,223
686,212
696,214
707,221
717,209
728,220
739,216
749,207
759,219
771,208
781,208
791,218
802,205
813,214
823,214
834,204
844,216
855,206
866,204
876,214
886,203
898,209
908,212
918,201
929,213
940,205
950,200
961,212
971,200
982,204
993,210
1003,198
1013,209
1025,204
1035,197
1045,209
1056,199
1067,199
1077,208
1088,196
1098,204
1108,204
1120,194
1130,206
1141,197
1152,194
1162,205
1173,194
1183,198
1193,203
1205,192
1215,203
1225,198
1236,191
1247,203
1258,193
1268,193
1278,202
1290,190
1300,200
1310,199
1321,188
1332,200
1342,192
1353,189
1363,200
1375,189
1385,194
1395,198
1406,187
1417,198
1427,193
1438,186
1448,199
1459,188
1470,190
1480,198
1491,186
1502,196
1512,194
1523,184
1533,197
1544,188
1555,185
1565,197
1575,185
1587,191
1597,195
1608,183
1618,195
1629,189
1640,183
1650,196
1660,185
1672,188
1682,195
1692,183
1703,194
1714,191
1725,182
1735,194
1745,185
1757,183
1767,195
1777,182
1788,190
1799,193
1809,181
1820,193
1830,186
1842,181
1852,194
1862,183
1873,185
1884,193
1894,181
1905,192
1915,189
1926,180
1937,192
1947,183
1957,182
1969,193
1979,181
1990,189
2000,191
2011,179
2022,191
2032,184
2042,179
2054,192
2064,180
2074,184
2085,191
2096,178
2107,190
2117,186
2127,177
2139,191
2149,181
2159,180
2170,191
2181,178
2191,187
2202,188
2212,177
2224,189
2234,181
2244,177
2255,190
2266,179
2276,183
2287,189
2297,176
2308,188
2319,184
2329,176
2340,189
2351,178
2361,179
2372,189
2382,176
2393,185
2404,186
2414,175
2424,188
2436,179
2446,176
2457,188
2467,176
2478,182
2489,187
2499,174
2509,187
2521,182
2531,175
2541,187
2552,177
2563,178
2574,187
2584,175
2594,185
2606,185
2616,174
2626,187
2637,178
2648,175
2658,187
2669,175
2679,181
2691,186
2701,174
2711,186
2722,180
2733,174
2743,187
2754,176
2764,178
2775,186
2786,174
2796,185
2807,183
2818,173
2828,186
2839,177
2849,175
2860,187
2871,175
2881,182
2891,185
2903,173
2913,185
2924,179
2934,173
2945,186
2956,175
2966,178
2976,186
2988,173
2998,185
3008,182
3019,172
3030,186
3041,176
3051,174
3061,186
3073,174
3083,181
3093,184
3104,173
3115,185
3125,178
3136,173
3146,185
3158,175
3168,178
3178,186
3189,173
3200,184
3210,181
3221,172
3231,185
3241,175
3253,175
3263,186
3273,174
3284,182
3295,184
3306,173
3316,185
3326,178
3338,173
3348,186
3358,175
3369,179
3380,185
3390,173
3401,185
3411,181
3423,173
3433,186
3443,176
3454,175
3465,186
3475,174
3486,182
3496,183
3507,172
3518,185
3528,177
3539,173
3550,185
3560,174
3571,179
3581,185
3592,173
3603,185
3613,180
3623,173
3635,186
3645,176
3656,176
3666,186
3677,173
3688,183
3698,183
3708,172
3720,185
3730,176
3741,174
3751,186
3762,174
3773,180
3783,185
3793,173
3805,184
3815,180
3825,173
3836,185
3847,175
3858,176
3868,186
3878,173
3890,183
3900,182
3910,172
3921,185
3932,176
3942,173
3953,185
3963,173
3974,179
3985,184
3995,172
4006,184
4017,178
4027,172
4038,185
4048,174
4059,176
4070,184
4080,172
4091,183
4102,181
4112,171
4123,184
4133,175
4144,173
4155,184
4165,173
4175,179
4187,183
4197,171
4207,184
4218,177
4229,172
4240,184
4250,173
4260,176
4272,184
4282,171
4292,183
4303,180
4314,171
4324,184
4335,175
4345,173
4357,184
4367,172
4377,180
4388,182
4399,170
4409,183
4420,176
4430,171
4441,184
4452,172
4462,176
4473,183
4484,171
4494,182
4505,179
4515,171
4526,183
4537,174
4547,173
4557,184
4569,171
4579,180
4590,181
4600,170
4611,183
4622,175
4632,172
4642,184
4654,173
4664,177
4674,183
4685,171
4696,183
4707,179
4717,170
4727,184
4739,173
4749,174
4759,184
4770,171
4781,181
4791,181
4802,170
4812,183
4824,175
4834,172
4844,184
4855,172
4866,177
4876,183
4887,171
4897,183
4908,177
4919,171
4929,183
4940,173
4951,174
4961,183
4972,171
4982,181
4993,180
5004,170
5014,183
5024,174
5036,171
5046,183
5057,172
5067,178
5078,183
5089,170
5099,183
5109,177
5121,171
5131,183
5141,173
5152,175
5163,183
5173,171
5184,182
5194,180
5206,170
5216,183
5226,174
5237,172
5248,183
5258,172
5269,178
5279,182
5289,170
5301,183
5311,176
5322,171
5332,183
5343,172
5354,175
5364,183
5374,171
5386,182
5396,179
5406,170
5417,183
5428,174
5439,172
5449,184
5459,171
5471,179
5481,181
5491,170
5502,182
5513,175
5523,171
5534,183
5544,172
5556,176
5566,183
5576,170
5587,182
5598,178
5608,170
5619,183
5629,173
5640,173
5651,183
5661,171
5672,180
5683,181
5693,170
5704,183
5714,175
5725,171
5736,183
5746,172
5756,176
5768,183
5778,170
5789,182
5799,177
5810,170
5821,183
5831,173
5841,173
5853,183
5863,171
5873,180
5884,180
5895,169
5906,182
5916,174
5926,171
5938,183
5948,171
5958,177
5969,182
5980,170
5990,182
6001,176
6011,170
6023,183
6033,172
6043,174
6054,183
6065,171
6075,181
6086,180
6096,169
6107,183
6118,173
6128,171
6138,183
6150,171
6160,177
6171,182
6181,170
6192,182
6203,176
6213,170
6223,183
6235,172
6245,175
6256,182
6266,170
6277,181
6288,179
6298,169
6308,183
6320,173
6330,171
6340,182
6351,171
6362,178
6373,181
6383,170
6393,182
6405,175
6415,170
6425,183
6436,172
6447,175
6457,183
6468,170
6478,182
6490,179
6500,170
6510,183
6521,173
6532,172
6542,183
6553,171
6563,179
6574,181
6585,170
6595,182
6606,175
6617,171
6627,183
6638,172
6648,176
6659,183
6670,170
6680,182
6690,178
6702,170
6712,183
6722,173
6733,173
6744,183
6755,171
6765,180
6775,181
6787,170
6797,182
6807,174
6818,171
6829,183
6839,171
6850,176
6860,182
6872,170
6882,182
6892,177
6903,170
6914,183
6924,173
6935,173
6945,183
6956,171
6967,180
6977,180
6988,169
6999,183
7009,174
7020,171
7030,183
7041,171
7052,177
7062,182
7072,170
7084,182
7094,176
7105,170
7115,183
7126,172
7137,174
7147,183
7157,170
7169,181
7179,180
7189,170
7200,183
7211,173
7222,172
7232,183
7242,171
7254,178
7264,182
7274,170
7285,182
7296,176
7306,170
7317,183
7327,172
7339,175
7349,183
7359,170
7370,181
7380,179
7391,169
7402,182
7412,173
7422,171
7434,183
7444,171
7455,178
7465,181
7476,169
7487,182
7497,175
7507,170
7519,183
7529,171
7539,175
7550,182
7561,170
7572,181
7582,178
7592,169
7604,182
7614,173
7624,171
7635,182
7646,171
7656,178
7667,181
7677,169
7689,182
7699,174
7709,170
7720,182
7731,171
7741,175
7752,181
7762,170
7773,181
7784,177
7794,169
7805,182
7816,172
7826,172
7837,183
7847,170
7858,179
7869,180
7879,169
7889,182
7901,174
7911,171
7921,183
7932,171
7943,176
7954,182
7964,170
7974,182
7986,177
7996,170
8006,183
8017,172
8028,173
8038,183
8049,170
8059,180
8071,180
8081,169
8091,182
8102,173
8113,171
8123,182
8134,171
8144,177
8156,181
8166,170
8176,182
8187,176
8198,170
8208,183
8219,172
8229,174
8240,183
8251,170
8261,181
8272,179
8283,170
8293,182
8304,173
8314,171
8325,183
8336,172
8346,178
8356,182
8368,170
8378,181
8388,176
8399,170
8410,183
8421,172
8431,175
8441,182
8453,170
8463,181
8473,178
8484,170
8495,182
8505,173
8516,171
8526,182
8538,170
8548,178
8558,181
8569,169
8580,182
8590,175
8601,171
8611,183
8622,172
8633,175
8643,182
8654,170
8665,181
8675,178
8686,169
8696,182
8707,173
8718,172
8728,183
8738,170
8750,179
8760,180
8771,169
8781,182
8792,174
8803,170
8813,182
8823,171
8835,175
8845,182
8855,169
8866,181
8877,177
8888,169
8898,183
8908,172
8920,173
8930,183
8940,170
8951,180
8962,180
8972,169
8983,182
8993,174
9005,171
9015,183
9025,171
9036,177
9047,182
9057,170
9068,182
9078,177
9089,170
9100,183
9110,172
9121,174
9132,183
9142,170
9153,181
9163,180
9174,170
9185,183
9195,174
9205,171
9217,183
9227,171
9238,178
9248,182
9259,170
9270,183
9280,177
9290,171
9302,183
9312,173
9322,175
9333,183
9344,171
9354,182
9365,179
9375,170
9387,183
9397,174
9407,172
9418,184
9428,171
9439,179
9450,182
9460,170
9470,183
9482,176
9492,170
9503,183
9513,172
9524,175
9535,182
9545,170
9555,182
9567,179
9577,170
9587,183
9598,173
9609,172
9620,183
9630,171
9640,179
9652,181
9662,170
9672,182
9683,175
9694,171
9704,183
9715,172
9725,176
9737,183
9747,170
9757,182
9768,178
9779,170
9789,183
9800,173
9810,173
9822,183
9832,171
9842,180
9853,181
9864,170
9874,183
9885,175
9895,171
9906,183
9917,172
9927,177
9938,183
9949,170
9959,182
9970,178
9980,170
9991,183
10002,173
10012,174
10023,184
10034,171
10044,180
10055,181
10065,170
10077,183
10087,176
10097,171
10108,183
10119,172
10130,175
10140,183
10150,171
10162,182
10172,180
10183,170
10193,183
10205,174
10215,171
10225,183
10236,172
10247,176
10258,183
10268,171
10278,182
10290,179
10300,170
10311,183
10321,174
10333,172
10343,184
10353,172
10364,178
10375,182
10386,170
10396,183
10406,177
10418,171
10428,183
10439,173
10449,173
10461,183
10471,171
10481,179
10492,181
10503,170
10514,182
10524,176
10534,171
10546,183
10556,173
10567,175
10577,183
10589,171
10599,181
10609,180
10620,170
10631,183
10642,175
10652,172
10662,183
10674,172
10684,176
10695,183
10705,171
10717,182
10727,179
10737,170
10748,183
10759,174
10770,172
10780,184
10790,172
10802,178
10812,183
10823,171
10833,183
10844,178
10855,171
10865,183
10876,173
10887,173
10898,184
10908,172
10918,179
10930,182
10940,170
10951,183
10961,176
10972,171
10983,183
10993,173
11004,175
11015,183
11026,171
11036,181
11046,181
11058,170
11068,183
11079,175
11089,171
11100,184
11111,172
11121,176
11132,183
11143,171
11154,182
11164,179
11174,170
11186,183
11196,174
11207,172
11217,184
11228,172
11239,178
11249,183
11260,171
11271,183
11281,178
11292,171
11302,184
11314,174
11324,173
11335,184
11345,172
11356,180
11367,182
11377,170
11388,183
11399,177
11409,171
11420,184
11430,173
11442,175
11452,184
11463,171
11473,181
11484,181
11495,171
11505,183
11516,175
11527,171
11537,184
11548,173
11558,176
11570,183
11580,171
11590,182
11601,179
11612,170
11623,183
11633,174
11644,172
11655,183
11665,172
11676,178
11686,182
11698,171
11708,183
11718,178
11729,171
11740,183
11751,174
11761,173
11772,184
11783,172
11793,179
11804,182
11814,170
11826,183
11836,177
11846,171
11857,183
11868,173
11879,175
11889,184
11900,172
11911,181
11921,181
11932,170
11942,183
11954,176
11964,171
11974,184
11985,173
11996,176
12007,184
12017,171
12027,183
12039,180
12049,171
12060,184
12070,174
12082,173
12092,184
12102,172
12113,178
12124,183
12135,171
12145,183
12155,178
12167,170
12177,183
12188,174
12198,173
12210,184
12220,172
12230,179
12241,182
12252,170
12263,183
12273,176
12283,171
12295,183
12305,173
12316,175
12326,184
12337,172
12348,181
12358,181
12369,170
12380,183
12391,176
12401,171
12411,184
12423,173
12433,176
12444,183
12454,171
12465,183
12476,180
12486,171
12497,184
12508,175
12519,173
12529,184
12539,173
12551,178
12561,183
12572,171
12582,183
12593,179
12604,171
12614,184
12625,174
12636,174
12646,184
12657,172
12667,180
12679,183
12689,171
12700,183
12710,177
12721,172
12732,184
12742,173
12753,175
12764,184
12774,172
12785,181
12795,181
12807,171
12817,184
12828,176
12838,172
12849,184
12860,173
12870,176
12881,184
12892,171
12902,183
12913,180
12923,171
12935,184
12945,175
12956,172
12966,184
12977,173
12988,178
12998,184
13009,171
13020,183
13030,179
13041,171
13051,184
13063,174
13073,173
13084,184
13094,172
13105,179
13116,183
13126,171
13137,183
13148,177
13158,171
13169,184
13179,174
13191,174
13201,184
13212,172
13222,181
13233,182
13244,171
13254,184
13265,176
13276,171
13286,184
13297,173
13307,176
13319,184
13329,172
13339,182
13350,181
13361,171
13372,183
13382,175
13393,172
13404,184
13414,173
13425,177
13435,184
13447,171
13457,183
13467,179
13478,171
13489,184
13500,174
13510,173
13521,184
13532,172
13542,179
13553,183
13563,171
13575,183
13585,178
13595,171
13606,184
13617,174
13628,174
13638,185
13649,172
13660,181
13670,182
13681,171
13691,184
13703,177
13713,172
13723,185
13734,174
13745,176
13756,184
13766,172
13776,183
13788,181
13798,171
13809,184
13819,175
13831,172
13841,184
13851,173
13862,177
13873,183
13884,171
13894,183
13904,179
13916,170
13926,183
13937,174
13947,173
13959,184
13969,172
13979,179
13990,183
14001,171
14012,183
14022,178
14032,171
14044,184
14054,174
14065,174
14075,184
14086,172
14097,180
14107,182
14118,171
14129,183
14140,176
14150,172
14160,184
14172,173
14182,175
14193,184
14203,172
14214,182
14225,181
14235,171
14246,184
14257,175
14268,172
14278,184
14288,173
14300,176
14310,184
14321,171
14331,183
14342,180
14353,171
14363,184
14374,174
14385,173
14395,184
14406,173
14416,178
14428,183
14438,171
14449,183
14459,178
14470,171
14481,183
14491,174
14502,174
14513,184
14523,172
14534,180
14544,182
14556,171
14566,183
14577,177
14587,172
14598,183
14609,174
14619,175
14630,183
14641,172
14651,181
14662,181
14672,171
14684,183
14694,175
14704,172
14715,184
14726,173
14737,177
14747,183
14758,171
14769,182
14779,179
14790,171
14800,183
14812,174
14822,172
14832,183
14843,172
14854,177
14865,182
14875,171
14886,182
14897,177
14907,170
14918,183
14928,173
14940,173
14950,184
14960,171
14971,180
14982,182
14993,171
15003,183
15013,177
15025,172
15035,184
15046,173
15056,175
15068,183
15078,171
15088,181
15099,181
15110,171
15121,184
15131,175
15141,172
15153,184
15163,173
15174,177
15184,183
15196,171
15206,183
15216,180
15227,171
15238,184
15249,174
15259,173
15269,184
15281,172
15291,178
15302,183
15312,171
15323,183
15334,178
15344,171
15355,184
15366,173
15377,173
15387,184
15397,172
15409,180
15419,182
15430,172
15440,183
15451,177
15462,172
15472,184
15483,174
15494,176
15505,185
15515,172
15525,182
15537,182
15547,172
15558,184
15568,176
15579,173
15590,184
15600,173
15611,177
15622,184
15632,172
15643,183
15653,180
15665,171
15675,184
15686,175
15696,173
15707,185
15718,173
15728,178
15739,183
15750,171
15760,184
15771,179
15781,172
15793,184
15803,174
15814,174
15824,184
15835,172
15846,179
15856,182
15867,171
15878,183
15888,177
15899,171
15909,184
15921,173
15931,174
15941,184
15952,171
15963,181
15974,181
15984,171
15995,183
16006,176
16016,172
16027,183
16037,172
16049,176
16059,183
16069,171
16080,182
16091,180
16102,170
16112,183
16123,175
16134,172
16144,184
16155,172
16165,177
16177,183
16187,171
16197,183
16208,179
16219,171
16230,183
16240,173
16251,172
16262,184
16272,172
16283,178
16293,182
16305,171
16315,183
16325,177
16336,171
16347,184
16358,173
16368,173
16378,183
16390,171
16400,180
16411,181
16421,170
16433,183
16443,176
16453,171
16464,183
16475,172
16486,175
16496,183
16506,171
16518,181
16528,180
16539,170
16549,183
16561,175
16571,172
16581,184
16592,172
16603,177
16614,183
16624,171
16634,183
16646,179
16656,171
16667,183
16677,174
16688,172
16699,183
16709,172
16720,178
16731,183
16742,171
16752,183
16762,178
16774,171
16784,184
16795,173
16805,174
16816,183
16827,171
16837,179
16848,182
16859,171
16870,183
16880,176
16890,171
16902,183
16912,173
16923,174
16933,183
16944,171
16955,180
16965,180
16976,170
16987,183
16998,175
17008,171
17018,183
17030,172
17040,176
17051,183
17061,171
17072,182
17083,180
17093,170
17104,183
17115,174
17126,172
17136,183
17146,172
17158,177
17168,182
17179,170
17189,183
17200,178
17211,171
17221,184
17232,173
17243,173
17253,183
17264,171
17274,178
17286,182
17296,171
17307,183
17317,177
17328,171
17339,183
17349,173
17360,174
17371,183
17381,171
17392,180
17402,181
17414,170
17424,183
17435,176
17445,171
17456,183
17467,172
17477,176
17488,183
17499,171
17509,181
17520,180
17530,170
17542,183
17552,175
17562,172
17573,183
17584,172
17595,177
17605,183
17616,171
17627,183
17637,179
17648,171
17658,184
17670,174
17680,173
17690,184
17701,173
17712,179
17723,183
17733,171
17744,183
17755,178
17765,171
17776,184
17786,173
17798,174
17808,184
17818,172
17829,180
17840,182
17851,171
17861,184
17871,177
17883,172
17893,184
17904,173
17914,175
17926,183
17936,172
17946,181
17957,181
17968,171
17979,184
17989,175
17999,172
18011,184
18021,172
18032,177
18042,183
18054,171
18064,183
18074,180
18085,171
18096,183
18107,174
18117,173
18127,184
18139,172
18149,178
18160,183
18170,171
18181,183
18192,178
18202,171
18213,184
18224,173
18235,174
18245,184
18255,172
18267,180
18277,182
18288,172
18298,184
18309,178
18320,172
18330,184
18341,174
18352,175
18363,184
18373,172
18383,182
18395,182
18405,172
18416,185
18426,176
18437,173
18448,185
18458,173
18469,177
18480,184
18490,172
18501,183
18511,181
18523,172
18533,184
18544,175
18554,173
18565,184
18576,173
18586,178
18597,184
18608,172
18618,184
18629,179
18639,172
18651,184
18661,174
18671,174
18682,184
18693,173
18704,179
18714,183
18725,172
18736,183
18746,178
18757,172
18767,184
18779,174
18789,174
18799,184
18810,172
18821,180
18832,182
18842,171
18853,183
18864,176
18874,172
18885,184
18895,173
18907,176
18917,183
18927,172
18938,182
18949,181
18960,171
18970,184
18980,176
18992,172
19002,184
19013,173
19023,177
19035,184
19045,172
19055,184
19066,180
19077,171
19088,184
19098,174
19108,173
19120,184
19130,172
19141,178
19151,183
19163,171
19173,183
19183,178
19194,171
19205,184
19216,174
19226,174
19236,184
19248,172
19258,180
19269,182
19279,171
19290,184
19301,177
19311,172
19322,184
19333,173
19344,175
19354,183
19364,172
19376,181
19386,181
19397,171
19407,184
19418,176
19429,172
19439,184
19450,173
19461,176
19472,184
19482,172
19492,183
19504,180
19514,171
19525,184
19535,175
19546,173
19557,184
19567,172
19578,177
19589,183
19599,171
19610,183
19620,179
19632,171
19642,184
19653,174
19663,173
19674,184
19685,172
19695,179
19706,183
19717,171
19727,183
19738,177
19748,172
19760,184
19770,173
19780,174
19791,184
19802,172
19813,180
19823,182
19834,171
19845,184
19855,176
19866,172
19876,184
19888,173
19898,176
19908,184
19919,171
19930,182
19941,181
19951,171
19962,184
19973,176
19983,173
19994,184
20004,173
20016,177
20026,184
20036,171
20047,183
20058,179
20069,171
20079,184
20089,174
20101,173
20111,184
20122,172
20132,179
20144,183
20154,172
20164,184
20175,178
20186,172
20197,184
20207,174
20217,174
20229,184
20239,172
20250,180
20260,182
20272,171
20282,184
20292,182
20303,172
20314,184
20325,173
20335,176
20345,184
20357,172
20367,182
20378,182
20388,172
20399,184
20410,176
20420,173
20431,184
20442,173
20453,177
20463,184
20473,172
20485,183
20495,181
20506,171
20516,184
20527,175
20538,173
20548,184
20559,173
20570,178
20581,183
20591,172
20601,183
20613,179
20623,171
20634,184
20644,174
20655,173
20666,184
20676,172
20687,179
20698,183
20709,171
20719,184
20729,178
20741,172
20751,184
20762,173
20772,174
20783,184
20794,172
20804,181
20815,182
20826,171
20836,184
20847,177
20857,172
20869,184
20879,173
20890,175
20900,183
20911,171
20922,182
20932,181
20943,171
20954,184
20964,175
20975,173
20985,184
20997,173
21007,177
21018,183
21028,172
21039,183
21050,180
21060,171
21071,184
21082,174
21092,173
21103,184
21113,172
21125,178
21135,183
21146,171
21156,183
21167,178
21178,172
21188,184
21199,174
21210,174
21220,184
21231,172
21241,180
21253,183
21263,171
21273,184
21284,177
21295,172
21306,184
21316,173
21327,176
21338,184
21348,172
21359,182
21369,182
21381,172
21391,184
21401,176
21412,173
21423,184
21434,173
21444,177
21455,184
21466,172
21476,183
21487,181
21497,171
21509,184
21519,175
21529,173
21540,184
21551,172
21562,178
21572,183
21582,172
21594,183
21604,179
21615,172
21625,184
21637,174
21647,173
21657,184
21668,172
21679,179
21690,183
21700,171
21710,184
21722,178
21732,172
21743,184
21753,173
21765,175
21775,184
21785,172
21796,180
21807,182
21818,172
21828,184
21838,177
21850,172
21860,184
21871,173
21881,176
21892,184
21903,172
21913,182
21924,181
21935,171
21946,184
21956,176
21966,173
21978,184
21988,173
21999,177
22009,183